"Titel"	"Opmerking"
"|BELKA"	"bedrijfsnaam - JS"
"|SPICA"	"bedrijfsnaam - JS"
"|DALA"	"bedrijfsnaam - JS"
"|LONZA"	"bedrijfsnaam - JS"
"|MOLE"	"bedrijfsnaam - JS"
"|ATES"	"bedrijfsnaam - JS"
"|SALUS"	"bedrijfsnaam - JS"
"|RODIN"	"bedrijfsnaam - JS"
"|ALKIN"	"bedrijfsnaam - JS"
"|VAN MELLE"	"bedrijfsnaam - JS"
"|POLKA"	"bedrijfsnaam - JS"
"|ARZU"	"bedrijfsnaam - JS"
"|MOOREN"	"bedrijfsnaam - JS"
"|BAYER"	"bedrijfsnaam - JS"
"|NIELSEN"	"bedrijfsnaam - JS"
"|KESER"	"bedrijfsnaam - JS"
"|GALIC"	"bedrijfsnaam - JS"
"|GROZA"	"bedrijfsnaam - JS"
"|GRIB"	"bedrijfsnaam - JS"
"|ONUR"	"bedrijfsnaam - JS"
"|MUHLE"	"bedrijfsnaam - JS"
"|NURI"	"bedrijfsnaam - JS"
"|MIKA"	"bedrijfsnaam - JS"
"|AMER"	"bedrijfsnaam - JS"
"|RUPA"	"bedrijfsnaam - JS"
"|ATAS"	"bedrijfsnaam - JS"
"|AVRAM"	"bedrijfsnaam - JS"
"|HEUER"	"bedrijfsnaam - JS"
"|SERIN"	"bedrijfsnaam - JS"
"|FONTANA"	"bedrijfsnaam - JS"
"|VERITAS"	"bedrijfsnaam - JS"
"|KOFIN"	"bedrijfsnaam - JS"
"|REYHAN"	"bedrijfsnaam - JS"
"|BENFIELD"	"bedrijfsnaam - JS"
"|OWENS"	"bedrijfsnaam - JS"
"|BRADLEY"	"bedrijfsnaam - JS"
"|AMAC"	"bedrijfsnaam - JS"
"|NORBURY"	"bedrijfsnaam - JS"
"|KETTLE"	"bedrijfsnaam - JS"
"|GRUBER"	"bedrijfsnaam - JS"
"|PERRY"	"bedrijfsnaam - JS"
"|OREL"	"bedrijfsnaam - JS"
"|GRASSO"	"bedrijfsnaam - JS"
"|VIDA"	"bedrijfsnaam - JS"
"|CLEVE"	"bedrijfsnaam - JS"
"|MALMBERG"	"bedrijfsnaam - JS"
"|LIMONI"	"bedrijfsnaam - JS"
"|DE CLERCK"	"bedrijfsnaam - JS"
"|VAN HARN"	"bedrijfsnaam - JS"
"|PARADIS"	"bedrijfsnaam - JS"
"|SCHUTTE"	"bedrijfsnaam - JS"
"|DURA"	"bedrijfsnaam - JS"
"|SERIS"	"bedrijfsnaam - JS"
"|CUSTERS"	"bedrijfsnaam - JS"
"|KOCAK"	"bedrijfsnaam - JS"
"|PHILLIPS"	"bedrijfsnaam - JS"
"|ASITO"	"bedrijfsnaam - JS"
"|KWIATKOWSKI"	"bedrijfsnaam - JS"
"|CANPOLAT"	"bedrijfsnaam - JS"
"|SEPTA"	"bedrijfsnaam - JS"
"|KOHLER"	"bedrijfsnaam - JS"
"|GOBEL"	"bedrijfsnaam - JS"
"|HESSE"	"bedrijfsnaam - JS"
"|SEIDEL"	"bedrijfsnaam - JS"
"|HERIC"	"bedrijfsnaam - JS"
"|DEME"	"bedrijfsnaam - JS"
"|FALLER"	"bedrijfsnaam - JS"
"|McDONNELL"	"bedrijfsnaam - JS"
"|KRAL"	"bedrijfsnaam - JS"
"|DUDA"	"bedrijfsnaam - JS"
"|DEPA"	"bedrijfsnaam - JS"
"|CINAR"	"bedrijfsnaam - JS"
"|BORAK"	"bedrijfsnaam - JS"
"|DUMA"	"bedrijfsnaam - JS"
"|MAKSMA"	"bedrijfsnaam - JS"
"|HASS"	"bedrijfsnaam - JS"
